CF31,W99999999
W1X,E12000007
NE88,E12000001
B6,E12000005
LE1,E12000004
BT32,N99999999
CF81,W99999999
B29,E12000005
SO43,E12000008
DD9,S99999999
CW6,E12000002
SN14,E12000009
WV7,E12000005
SL4,E12000008
S11,E12000003
L68,E12000002
LE12,E12000004
WA8,E12000002
TN10,E12000008
CT5,E12000008
EN9,E12000006
IV35,S99999999
W1N,E12000007
AB16,S99999999
SA11,W99999999
N21,E12000007
ME17,E12000008
CB8,E12000006
TD13,S99999999
B47,E12000005
WF7,E12000003
NE24,E12000001
SA37,W99999999
SO51,E12000008
BR6,E12000007
W2,E12000007
LN9,E12000004
L33,E12000002
KA13,S99999999
MK8,E12000008
L6,E12000002
SP10,E12000008
LU5,E12000006
CF36,W99999999
RM7,E12000007
EC1N,E12000007
KT24,E12000008
WS8,E12000005
L13,E12000002
BL4,E12000002
DG7,S99999999
TR1,E12000009
NN5,E12000004
LL20,W99999999
M35,E12000002
IP29,E12000006
N1C,E12000007
LS6,E12000003
TA20,E12000009
PH17,S99999999
CV22,E12000005
PH40,S99999999
PH10,S99999999
L16,E12000002
WF14,E12000003
EC2R,E12000007
KY15,S99999999
G42,S99999999
CB23,E12000006
M30,E12000002
L22,E12000002
KT2,E12000007
HP7,E12000008
RG26,E12000008
TW4,E12000007
SS6,E12000006
CO8,E12000006
LL51,W99999999
CF45,W99999999
LS99,E12000003
ST17,E12000005
LL64,W99999999
BS9,E12000009
MK14,E12000008
TS16,E12000001
S1,E12000003
EH36,S99999999
SE11,E12000007
SS12,E12000006
GU4,E12000008
TA11,E12000009
TW16,E12000008
SA68,W99999999
OL4,E12000002
G66,S99999999
NG15,E12000004
PA37,S99999999
WA2,E12000002
NE41,E12000001
G44,S99999999
B80,E12000005
SG3,E12000006
CM24,E12000006
IP17,E12000006
LA16,E12000002
KA6,S99999999
IP98,E12000006
BD15,E12000003
S60,E12000003
IP9,E12000006
GL8,E12000009
DH97,E12000001
YO60,E12000003
EX35,E12000009
TN21,E12000008
NE35,E12000001
CH6,W99999999
BH10,E12000009
IV46,S99999999
CV47,E12000005
PA61,S99999999
SM4,E12000007
OX17,E12000004
CA11,E12000002
WD25,E12000006
NE32,E12000001
N15,E12000007
GL50,E12000009
GU34,E12000008
WF4,E12000003
PL35,E12000009
BS27,E12000009
NG34,E12000004
G60,S99999999
G82,S99999999
HU4,E12000003
FK4,S99999999
BT44,N99999999
NG80,E12000004
JE3,L99999999
G84,S99999999
M26,E12000002
S30,E12000003
NR29,E12000006
UB3,E12000007
GL17,E12000009
PE5,E12000006
BA16,E12000009
PO2,E12000008
ML11,S99999999
BT93,N99999999
UB18,E12000007
RG7,E12000008
ST4,E12000005
PA46,S99999999
CH41,E12000002
EX23,E12000009
EC3M,E12000007
PR26,E12000002
M13,E12000002
FK13,S99999999
NE20,E12000001
B74,E12000005
PR0,E12000002
PH4,S99999999
TQ14,E12000009
M24,E12000002
GU5,E12000008
BS12,E12000009
SA73,W99999999
EX10,E12000009
CM4,E12000006
PO17,E12000008
LE21,E12000004
M6,E12000002
LL75,W99999999
TN39,E12000008
BT30,N99999999
NE9,E12000001
TN19,E12000008
TN17,E12000008
WD5,E12000006
NE99,E12000001
HX2,E12000003
DA6,E12000007
GU27,E12000008
IV25,S99999999
HU2,E12000003
YO21,E12000003
LA23,E12000002
E16,E12000007
B31,E12000005
OX9,E12000008
PA23,S99999999
N2,E12000007
YO43,E12000003
WN8,E12000002
SE8,E12000007
NR15,E12000006
M19,E12000002
WS5,E12000005
BN15,E12000008
CF15,W99999999
LE15,E12000004
DL16,E12000001
CH3,E12000002
WD6,E12000006
TR4,E12000009
SG17,E12000006
CA5,E12000002
WR7,E12000005
CT11,E12000008
LS10,E12000003
BD21,E12000003
BH1,E12000009
TA18,E12000009
LL38,W99999999
PO38,E12000008
CF47,W99999999
SN4,E12000009
BT13,N99999999
CF24,W99999999
SG13,E12000006
SR1,E12000001
S97,E12000003
WR4,E12000005
E3,E12000007
